date;name;country_name;coordinates;description
1534;Affair of the Placards;France;47.4110351,0.983698;Protestants stick notices everywhere, even on the Royal chamber's door, which shooks him. End of the Protestant hype in France.
1630;Day of the Dupes;France;48.8035403,2.1266886;Nothing happens. Still, Richelieu emerges as the new big guy in France, duping the Queen mother.
1572;French Red Wedding;France;48.8611473,2.3380277;On Saint-Bartholomew's Day, a few days after the wedding of Protestant King of Navarre and Catholic French princess, a big slaughter happens. 
1618;Defenestration of Prague II;Bohemia;50.0908114,14.4005229;Prague nobles throw Imperial emissaries out of the window. They survive - by landing on a pile of shit - but it will escalate in one of the biggest wars in European history.
1911;Roald Amundsen conquers South Pole;Antartica;-90,0.0;Facing Scott, Amundsen and his Norwegian team will be the first to arrive at the South pole. Lot of death will happen.
1926;Roald Amundsen also conquers North Pole;Arctica;90,0.0;After his adventure in the South, Amundsen becomes the first guy to go to both poles. What a chad.
1870;Napoleon III fails miserably in Sedan;France;49.7033759,4.9433409;The French emperor is defeated by a Coalition of German nations. GG Bismarck.
1857;Sepoys Not Happy;India;22.7641623,88.3776088;Beginning of the first Sepoy Uprising, the first of many Indian riots against British rule.
1799;Rosetta Stone emerges;Egypt  ;31.3203016,30.0641979;While sieged in Aboukir, French soldiers find a stone full of weird characters and some Greek too. 
1814;White House becomes Burnt House;United States;38.8976997,-77.0365532;During the 1812 War, the British army burns down Washington.
1780;Discovery of a plot involving three guys named Antonio;Chile;-33.4377756,-70.6504502;In Chile, three guys are arrested before they can conspire in order to create an Enlightened republic.
1791;Haiti uprises;Haiti;19.7233333,-72.27222222222223;During a voodoo celebration, Haitian slaves launch a revolution which will create the first independant republic in the Caraibes.
786;Harun al Rashid becomes Caliph;Abbassid Caliphate;33.3024309,44.3787992;Harun al Rashid becomes Caliph. He will become legendary thanks to an elephant sent to Charlemagne and the 1001 Nights.
678;Constantinople siege broken;Roman Empire;41.0096334,28.9651646;Thanks to bad-ass Greek Fire, the Romans in the East crush the Arabs after a two-years siege.
1755;Republic of Corsica proclaimed;Republic of Genoa;42.1880896,9.0684138;Corsicans riot against their Italian overlords. They become the first Enlightened republic, with a constitution and everything.
1498;Vasco da Gama crosses Cape of Good Hope;;-34.3571503,18.4739571;A Portuguese sailor crosses the tip of Africa, and waves hello.
